deberta:,roberta,xlnet
0.26004767,-0.077808045,0.37728322
0.21006134,-0.053536616,0.38779175
-0.16588822,-0.47985178,-0.2136872
-1.0805635,-0.9029275,-1.1013045
0.49199742,0.66909236,0.5786873
-0.8286239,-0.47731265,-0.42475212
-0.61358297,-1.5280492,-0.6998031
-0.5882168000000001,-0.7766605999999999,-0.6011616
0.071783304,-0.25920328,0.1656629
-0.29780644,-0.9552676,-0.042020246
-2.4797482000000004,-2.7402349,-2.1162205000000003
-1.6794299,-2.0127676,-1.1641203000000002
-1.0123687,-0.9969346,-0.8772164000000001
-0.17167245,-0.34933117,-0.12819566
0.30738395,0.45079726,0.39129025
0.27932408,0.07532443,0.22014125
-0.65971667,-1.3574916,-0.64754754
-0.21282178,-0.5655493,0.04889196
-0.63148826,-0.8322964,-0.20663257
-0.5206427,-0.68646395,-0.928181
0.21279512,0.43902874,0.36437035
-0.05248676,0.3862895,0.18779485
-0.6383669,-1.6882573,-0.57266295
-1.5325053,-2.1405542,-1.673432
-0.4556045999999999,-1.2066886,-0.61372316
0.28900194,0.9392665,0.5825481
-0.5963995,-1.166713,-0.66467786
-0.26036015,0.17326505,0.035111904
-0.63983977,-1.2011513,-0.5446809
-0.6702676,-1.1702207,-0.29826903
-0.20165563,-0.272727,0.019945713
0.5803683000000001,0.73309547,0.7355337
-0.6050298000000001,-0.7354291999999999,-0.8043174
-0.22057135,-0.7920086999999999,-0.16763437
0.12754335,0.17858344,0.39131078
-0.1614309,-0.06984921,0.17520128
0.41561672,0.7867351,0.62862104
0.61166763,0.32458648,0.4893145
0.5364151,1.2489591999999998,0.68820626
-0.17665435,-0.83918315,-0.055376068
0.6729871999999999,0.041384973,0.73469114
0.3964269,0.27840590000000004,0.35622764
0.46805224,0.58685905,0.63044244
-0.69888175,-0.7962918000000001,-0.40802538
-0.102098376,-0.24214338,-0.010082243
-1.2094636,-1.8833566,-1.2259307
0.021807851,0.66566914,0.025069537000000003
-0.6611209,-0.71796596,-0.82117575
-0.28618604,-0.8421679,-0.13685970000000006
-0.30316517,-0.5158305000000001,-0.20503971
-0.22328793,-0.18266322,-0.0066133873
-0.073822364,-0.31403953,-0.149529
-0.27987835,-0.16922475,0.0074851974
-0.6039513000000001,-1.1093893,-0.535737
-0.17470449,0.19353747,0.19363387
0.20256768,-0.015508465,0.31246012
-0.34031782,-0.51954925,-0.5660661
0.30410385,-0.19510293,0.45868182
